name_a,name_b,cipher,kamea,overall_resonance,node_similarity,edge_similarity,node_weight_similarity,edge_weight_similarity,vector_similarity,alignment_similarity,node_overlap_ratio,edge_overlap_ratio,shared_node_count,shared_edge_count,unique_nodes_a,unique_nodes_b,unique_edges_a,unique_edges_b
Michael Elvis Brockway,River Christian Tremblay,ordinal,venus,0.47358518211406686,0.7058823529411765,0.08571428571428572,0.5833333333333334,0.08571428571428572,0.9911609526283791,0.38970588235294124,0.7058823529411765,0.08571428571428572,12,3,3,2,15,17
Michael Elvis Brockway,River Christian Tremblay,ordinal,mercury,0.47358518211406686,0.7058823529411765,0.08571428571428572,0.5833333333333334,0.08571428571428572,0.9911609526283791,0.38970588235294124,0.7058823529411765,0.08571428571428572,12,3,3,2,15,17
Michael Elvis Brockway,River Christian Tremblay,ordinal,moon,0.47358518211406686,0.7058823529411765,0.08571428571428572,0.5833333333333334,0.08571428571428572,0.9911609526283791,0.38970588235294124,0.7058823529411765,0.08571428571428572,12,3,3,2,15,17
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,saturn,0.5869401379148188,0.875,0.23076923076923078,0.6041666666666667,0.17307692307692307,0.9808155069760923,0.6578125,0.875,0.23076923076923078,7,6,1,0,10,10
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,jupiter,0.530765818996562,0.9,0.12121212121212122,0.5916666666666667,0.10606060606060606,0.9839888533733121,0.48166666666666663,0.9,0.12121212121212122,9,4,0,1,14,15
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,mars,0.6034830792160961,1.0,0.13333333333333333,0.7158730158730159,0.13333333333333333,0.9578032372013384,0.6805555555555556,1.0,0.13333333333333333,9,4,0,0,12,14
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,sun,0.6128991327087725,0.8333333333333334,0.15151515151515152,0.6569444444444444,0.15151515151515152,0.9778367154445539,0.90625,0.8333333333333334,0.15151515151515152,10,5,1,1,13,15
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,venus,0.5545714833083121,0.9166666666666666,0.08823529411764706,0.6111111111111112,0.08823529411764706,0.9773472005034672,0.6458333333333334,0.9166666666666666,0.08823529411764706,11,3,1,0,15,16
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,mercury,0.5365884251899129,0.8333333333333334,0.08571428571428572,0.6097222222222222,0.08571428571428572,0.9626853130442391,0.6423611111111112,0.8333333333333334,0.08571428571428572,10,3,0,2,15,17
Michael Elvis Brockway,River Christian Tremblay,hebrew_literal,moon,0.5296478423838425,0.7857142857142857,0.08571428571428572,0.5952380952380952,0.08571428571428572,0.9856251495411508,0.6398809523809523,0.7857142857142857,0.08571428571428572,11,3,1,2,15,17
