claim_type,empirical_evidence,feature_family,feature_id,independence_group,input_dependencies,profile_key,source_path,value,value_type
deterministic_symbolic_feature,False,numerology,numerology.birth_year.number,birth_input,"[""birth_date""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.birth_year.number,4,categorical
deterministic_symbolic_feature,False,numerology,numerology.expression.number,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.expression.number,7,categorical
deterministic_symbolic_feature,False,numerology,numerology.soul_urge.number,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.soul_urge.number,4,categorical
deterministic_symbolic_feature,False,numerology,numerology.personality.number,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.personality.number,3,categorical
deterministic_symbolic_feature,False,numerology,numerology.balance.number,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.balance.number,3,categorical
deterministic_symbolic_feature,False,numerology,numerology.maturity.number,birth_and_name_input,"[""birth_date"", ""recorded_name""]",buzz_aldrin,symbolic_profile.numerology.core_numbers.maturity.number,5,categorical
deterministic_symbolic_feature,False,gematria,gematria.ordinal.digital_root,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.systems.ordinal.digital_root,7,categorical
deterministic_symbolic_feature,False,gematria,gematria.hebrew_literal.digital_root,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.systems.hebrew_literal.digital_root,2,categorical
deterministic_symbolic_feature,False,gematria,gematria.hebrew_phonetic.digital_root,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.systems.hebrew_phonetic.digital_root,2,categorical
deterministic_symbolic_feature,False,gematria,gematria.reverse_ordinal.digital_root,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.systems.reverse_ordinal.digital_root,2,categorical
deterministic_symbolic_feature,False,gematria,gematria.cross_system.distinct_root_count,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.cross_system.distinct_root_count,2,numeric
deterministic_symbolic_feature,False,gematria,gematria.cross_system.exact_root_convergence,name_input,"[""recorded_name""]",buzz_aldrin,symbolic_profile.gematria.cross_system.exact_root_convergence,False,categorical
deterministic_symbolic_feature,False,kamea,kamea.top_planet,name_input,"[""recorded_name"", ""cipher_rules""]",buzz_aldrin,symbolic_profile.kamea.ranked_planets[0].planet,mars,categorical
