date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2024-08-15,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-16,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-17,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-18,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-19,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-20,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-21,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-22,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-23,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-24,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
