hypothesis_id,family,alpha_score,passed_min_trades,description,signal_asset_rule,hold_period,direction,raw_trade_count,raw_win_rate,raw_avg_return,raw_median_return,raw_std_return,raw_min_return,raw_max_return,raw_gross_profit,raw_gross_loss,raw_profit_factor,raw_sharpe_like,raw_sortino_like,raw_final_equity,raw_total_return,raw_max_drawdown,raw_recovery_factor,raw_expectancy,non_overlap_trade_count,non_overlap_win_rate,non_overlap_avg_return,non_overlap_median_return,non_overlap_std_return,non_overlap_min_return,non_overlap_max_return,non_overlap_gross_profit,non_overlap_gross_loss,non_overlap_profit_factor,non_overlap_sharpe_like,non_overlap_sortino_like,non_overlap_final_equity,non_overlap_total_return,non_overlap_max_drawdown,non_overlap_recovery_factor,non_overlap_expectancy,asset_concentration,asset_counts
momentum_top_rank_24_q50,momentum,1.27254,True,Long strongest-ranked asset when 24-period return is above q50 threshold.,asset_with_min_rank_return_24,24,LONG,1455,0.565636,0.15017769,0.039166,0.44793902,-0.58356319,3.30193358,308.51396894,90.00542696,3.427726,12.788453,48.882505,2.2650503305753825e+53,2.2650503305753825e+53,-0.99999992,2.265050514964396e+53,0.15017769,1455,0.565636,0.15017769,0.039166,0.44793902,-0.58356319,3.30193358,308.51396894,90.00542696,3.427726,12.788453,48.882505,2.2650503305753825e+53,2.2650503305753825e+53,-0.99999992,2.265050514964396e+53,0.15017769,0.499656,"{'SOL-USD': 727, 'ETH-USD': 411, 'BTC-USD': 317}"
leader_persistence_24_8,leadership,0.769811,True,Long leader when leadership persists for at least 8 bars over 24.,leader_asset_24,24,LONG,1252,0.532748,0.11230451,0.01309896,0.42910034,-0.58356319,3.30193358,227.07687048,86.47161984,2.626028,9.26063,32.503012,4.613294316724081e+28,4.613294316724081e+28,-1.0,4.613294316733769e+28,0.11230451,1252,0.532748,0.11230451,0.01309896,0.42910034,-0.58356319,3.30193358,227.07687048,86.47161984,2.626028,9.26063,32.503012,4.613294316724083e+28,4.613294316724083e+28,-1.0,4.613294316727732e+28,0.11230451,0.407348,"{'SOL-USD': 510, 'BTC-USD': 434, 'ETH-USD': 308}"
leader_persistence_24_3,leadership,0.737341,True,Long leader when leadership persists for at least 3 bars over 24.,leader_asset_24,24,LONG,1807,0.541782,0.10574193,0.01697669,0.40073709,-0.58356319,3.30193358,306.95368938,115.8780179,2.648938,11.216743,39.502117,7.521948426798039e+41,7.521948426798039e+41,-1.0,7.521948426798044e+41,0.10574193,1807,0.541782,0.10574193,0.01697669,0.40073709,-0.58356319,3.30193358,306.95368938,115.8780179,2.648938,11.216743,39.502117,7.521948426798053e+41,7.521948426798053e+41,-1.0,7.521948427770453e+41,0.10574193,0.381295,"{'SOL-USD': 689, 'BTC-USD': 652, 'ETH-USD': 466}"
topology_high_correlation_leader_288,topology,-250.04926305,True,Long 288-period leader when average absolute correlation is high.,leader_asset_288,288,LONG,348,0.485632,-0.13383913,-0.06563266,0.50461953,-0.89198904,0.87624338,55.67226164,102.24827898,0.544481,-4.947761,-9.375265,0.0,-1.0,-1.0,-1.0,-0.13383913,39,0.589744,-0.04926305,0.0822683,0.50968194,-0.87278694,0.87624338,7.49239661,9.4136557,0.795907,-0.603607,-1.218675,1.302e-05,-0.99998698,-0.99999977,-0.999987,-0.04926305,0.399425,"{'BTC-USD': 139, 'SOL-USD': 110, 'ETH-USD': 99}"
breadth_dispersion_breakout_72,breadth,-500.005102,True,Long leader when cross-sectional spread is elevated over 72.,leader_asset_72,72,LONG,539,0.688312,0.57517605,0.42641687,0.91212905,-0.6210063,4.51286557,363.20494878,53.18505519,6.829079,14.639926,92.434936,2.5182620427055498e+69,2.5182620427055498e+69,-1.0,2.5182620427055662e+69,0.57517605,193,0.683938,0.59054397,0.42341803,0.91129042,-0.597942,4.11704293,132.60916341,18.63417814,7.116448,9.002727,54.851128,4.709778677292126e+25,4.709778677292126e+25,-0.99998839,4.709833358515189e+25,0.59054397,0.755102,"{'SOL-USD': 407, 'ETH-USD': 72, 'BTC-USD': 60}"
breadth_positive_288_0_8,breadth,-500.06587,True,Long leader when 80%+ of assets are positive over 288.,leader_asset_288,288,LONG,983,0.685656,2.00766686,0.5534458,4.68531341,-0.89198904,46.54075418,2129.02107613,155.48455757,13.692814,13.434755,191.413822,6.0502755891698286e+171,6.0502755891698286e+171,-1.0,6.0502755891698286e+171,2.00766686,94,0.648936,2.14921472,0.52904836,5.75003574,-0.8902004,46.54075418,216.45455259,14.42836912,15.002011,3.623875,59.012094,2.272482962805182e+16,2.272482962805182e+16,-1.0,2.272482962828894e+16,2.14921472,0.81587,"{'SOL-USD': 802, 'ETH-USD': 108, 'BTC-USD': 73}"
breadth_positive_288_1_0,breadth,-500.06587,True,Long leader when 100%+ of assets are positive over 288.,leader_asset_288,288,LONG,983,0.685656,2.00766686,0.5534458,4.68531341,-0.89198904,46.54075418,2129.02107613,155.48455757,13.692814,13.434755,191.413822,6.0502755891698286e+171,6.0502755891698286e+171,-1.0,6.0502755891698286e+171,2.00766686,94,0.648936,2.14921472,0.52904836,5.75003574,-0.8902004,46.54075418,216.45455259,14.42836912,15.002011,3.623875,59.012094,2.272482962805182e+16,2.272482962805182e+16,-1.0,2.272482962828894e+16,2.14921472,0.81587,"{'SOL-USD': 802, 'ETH-USD': 108, 'BTC-USD': 73}"
momentum_top_rank_72_q90,momentum,-500.104772,True,Long strongest-ranked asset when 72-period return is above q90 threshold.,asset_with_min_rank_return_72,72,LONG,482,0.665975,0.49523579,0.35950884,0.89370474,-0.6210063,4.51286557,287.06714768,48.36349898,5.935616,12.165823,68.397324,1.0485663992436283e+52,1.0485663992436283e+52,-1.0,1.0485663992436429e+52,0.49523579,176,0.647727,0.50941244,0.33081011,0.88971216,-0.597942,4.11704293,106.90227903,17.24568899,6.198783,7.59585,41.283984,5.634306449872421e+19,5.634306449872421e+19,-0.99996806,5.634486428779256e+19,0.50941244,0.854772,"{'SOL-USD': 412, 'ETH-USD': 49, 'BTC-USD': 21}"
momentum_top_rank_288_q75,momentum,-500.144932,True,Long strongest-ranked asset when 288-period return is above q75 threshold.,asset_with_min_rank_return_288,288,LONG,809,0.599506,1.88068833,0.32428743,5.05960322,-0.8972573,46.54075418,1716.93106656,195.45420966,8.784314,10.572425,175.532751,1.4531250808391087e+60,1.4531250808391087e+60,-1.0,1.4531250808391087e+60,1.88068833,74,0.608108,2.20442813,0.4455649,6.38496288,-0.88239532,46.54075418,180.73055695,17.60287527,10.267104,2.969979,60.50041,5849588.90712151,5849587.90712151,-1.0,5849587.907122,2.20442813,0.894932,"{'SOL-USD': 724, 'ETH-USD': 84, 'BTC-USD': 1}"
momentum_top_rank_288_q90,momentum,-500.191935,True,Long strongest-ranked asset when 288-period return is above q90 threshold.,asset_with_min_rank_return_288,288,LONG,465,0.554839,2.52234656,0.26688097,6.36062632,-0.87432117,46.54075418,1297.25711745,124.36596867,10.430965,8.551284,182.681708,1.9016009260506706e+41,1.9016009260506706e+41,-1.0,1.9016009260506706e+41,2.52234656,43,0.511628,2.88294428,0.14032452,8.11325575,-0.85644456,46.54075418,134.86067342,10.8940693,12.379274,2.330104,55.933096,29601.41926479,29600.41926479,-1.0,29600.419335,2.88294428,0.941935,"{'SOL-USD': 438, 'ETH-USD': 27}"
breadth_dispersion_breakout_288,breadth,-500.25,True,Long leader when cross-sectional spread is elevated over 288.,leader_asset_288,288,LONG,499,0.527054,2.06298463,0.06585338,5.70655,-0.87432117,40.52157704,1160.06023816,130.63090977,8.880442,8.07556,145.235626,7.572034361907252e+22,7.572034361907252e+22,-1.0,7.572034361907252e+22,2.06298463,44,0.545455,2.55062397,0.10916104,7.3574843,-0.85558538,40.52157704,123.17920086,10.95174621,11.247448,2.299553,50.776276,1156.04190088,1155.04190088,-1.0,1155.041903,2.55062397,1.0,{'SOL-USD': 499}
leadership_rotation_breakout_24,leadership,-999.0,True,Long new leader after leadership rotation with elevated spread over 24.,leader_asset_24,24,LONG,17,0.529412,0.17309346,0.03046275,0.51995221,-0.35514805,1.65925162,4.52999291,1.58740409,2.853711,1.372593,4.996722,4.0432292,3.0432292,-0.84282704,3.61074,0.17309346,17,0.529412,0.17309346,0.03046275,0.51995221,-0.35514805,1.65925162,4.52999291,1.58740409,2.853711,1.372593,4.996722,4.0432292,3.0432292,-0.70266524,4.33098,0.17309346,0.411765,"{'BTC-USD': 7, 'ETH-USD': 6, 'SOL-USD': 4}"
leadership_rotation_breakout_72,leadership,-999.0,False,Long new leader after leadership rotation with elevated spread over 72.,leader_asset_72,72,LONG,4,1.0,1.92550633,1.82943586,1.66039655,0.30168203,3.74147156,7.70202531,0.0,,2.319333,,42.25786566,41.25786566,0.0,,1.92550633,4,1.0,1.92550633,1.82943586,1.66039655,0.30168203,3.74147156,7.70202531,0.0,,2.319333,,42.25786566,41.25786566,0.0,,1.92550633,0.5,"{'ETH-USD': 2, 'SOL-USD': 2}"
leadership_rotation_breakout_288,leadership,-999.0,False,Long new leader after leadership rotation with elevated spread over 288.,leader_asset_288,288,LONG,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0,{}
topology_high_density_leader_72,topology,-999.0,False,Long 72-period leader when correlation graph density is high.,leader_asset_72,72,LONG,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0,{}
